Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,General,,,279,1878
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,CIVIL ENGINEERING,Female,,,15,4821
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,COMPUTER SC. & ENGINEERING,General,,,87,169
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,COMPUTER SC. & ENGINEERING,Female,,,345,590
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),General,,,215,589
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,COMPUTER SCIENCE & ENGG (INTERNET OF THINGS),Female,,,819,1278
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,General,,,253,1070
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,ELECTRICAL & ELECTRONICS ENGINEERING,Female,,,989,2906
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,General,,,2463,4597
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,FIRE TECHNOLOGY & SAFETY,Female,,,9477,9477
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,General,,,1159,2922
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BAKHTIYARPUR,MECHANICAL ENGINEERING,Female,,,1379,8299
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,CIVIL ENGINEERING,General,,,71,1232
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,CIVIL ENGINEERING,Female,,,1274,3022
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,General,,,1,69
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,COMPUTER SC. & ENGINEERING,Female,,,128,287
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,ELECTRICAL ENGINEERING,General,,,35,772
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,ELECTRICAL ENGINEERING,Female,,,648,1826
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,ELECTRO & COMMUNICATION ENGINEERING,General,,,130,408
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,ELECTRO & COMMUNICATION ENGINEERING,Female,,,356,1355
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,MECHANICAL ENGINEERING,General,,,699,1594
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.C.E. BHAGALPUR,MECHANICAL ENGINEERING,Female,,,1639,4473
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,3-D ANIMATION & GRAPHICS,General,,,2955,4773
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,3-D ANIMATION & GRAPHICS,Female,,,5208,12227
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,CIVIL ENGG WITH COMPUTER APPLICATION,General,,,4248,6010
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,CIVIL ENGG WITH COMPUTER APPLICATION,Female,,,10137,10137
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,CIVIL ENGINEERING,General,,,3004,5883
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,CIVIL ENGINEERING,Female,,,7443,10693
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,COMPUTER SC. & ENGINEERING,General,,,749,1579
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,COMPUTER SC. & ENGINEERING,Female,,,2188,3704
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,"COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE &
MACHINE LEARNING)",General,,,977,2521
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,"COMPUTER SCIENCE & ENGG (ARTIFICAL INTELLIGENCE &
MACHINE LEARNING)",Female,,,2447,5605
Bihar Combined Entrance Competitive Examination Board,Bihar Engineering Entrance Examination,UG,Bihar,2024,,B.P.M.C.E. MADHEPURA,ELECTRICAL & ELECTRONICS ENGINEERING,General,,,3104,4977
