Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",Bachelor of Fisheries Science,,ST,,,20796
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",Bachelor of Fisheries Science,,SC,,,10724
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",Bachelor of Fisheries Science,,OBC,,,13857
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",Bachelor of Fisheries Science,,UR,,,5718
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",B. Tech. Dairy Technology,,OBC,,,18503
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",B. Tech. Dairy Technology,,SC,,,20997
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"West Bengal University of Animal & Fishery Sciences, 37 & 68, KB Sarani, Kolkata-700037 (WB)",B. Tech. Dairy Technology,,UR,,,17616
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"VCSG Uttarakhand University of Horticulture and Forestry, Bharsar, Pauri Garhwal - 246123 (Uttarakhand)",B.Sc. (Hons.) Horticulture,,UR,,,6892
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"VCSG Uttarakhand University of Horticulture and Forestry, Bharsar, Pauri Garhwal - 246123 (Uttarakhand)",B.Sc. (Hons.) Horticulture,,OBC,,,5769
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"VCSG Uttarakhand University of Horticulture and Forestry, Bharsar, Pauri Garhwal - 246123 (Uttarakhand)",B.Sc. (Hons.) Horticulture,,EWS,,,6763
NTA,Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,UG,All India,2024,,"VCSG Uttarakhand University of Horticulture and Forestry, Bharsar, Pauri Garhwal - 246123 (Uttarakhand)",B.Sc. (Hons.) Forestry,,OBC,,,8332
