Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Bombay,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1,58
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Bombay,Electrical Engineering,OPEN,AI,Gender-Neutral,301,619
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OPEN,AI,Gender-Neutral,59,101
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,26,68
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Madras,Computer Science and Engineering,OPEN,AI,Gender-Neutral,102,196
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Madras,Electrical Engineering,OPEN,AI,Gender-Neutral,417,764
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Kanpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,131,216
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,Indian Institute of Technology Kharagpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,199,364
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,National Institute of Technology Tiruchirappalli,Computer Science and Engineering,OPEN,AI,Gender-Neutral,946,1978
JoSAA,JEE Advanced / JEE Main,UG,All India,2022,6,National Institute of Technology Karnataka Surathkal,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1376,2666
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Bombay,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1,63
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Bombay,Electrical Engineering,OPEN,AI,Gender-Neutral,326,670
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OPEN,AI,Gender-Neutral,64,110
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,28,73
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Madras,Computer Science and Engineering,OPEN,AI,Gender-Neutral,111,212
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Madras,Electrical Engineering,OPEN,AI,Gender-Neutral,451,826
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Kanpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,141,233
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,Indian Institute of Technology Kharagpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,215,393
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,National Institute of Technology Tiruchirappalli,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1023,2139
JoSAA,JEE Advanced / JEE Main,UG,All India,2023,6,National Institute of Technology Karnataka Surathkal,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1488,2883
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Bombay,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1,68
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Bombay,Electrical Engineering,OPEN,AI,Gender-Neutral,350,720
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OPEN,AI,Gender-Neutral,69,118
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Delhi,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,30,79
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Madras,Computer Science and Engineering,OPEN,AI,Gender-Neutral,119,228
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Madras,Electrical Engineering,OPEN,AI,Gender-Neutral,485,888
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Kanpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,152,251
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,Indian Institute of Technology Kharagpur,Computer Science and Engineering,OPEN,AI,Gender-Neutral,231,423
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,National Institute of Technology Tiruchirappalli,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1100,2300
JoSAA,JEE Advanced / JEE Main,UG,All India,2024,6,National Institute of Technology Karnataka Surathkal,Computer Science and Engineering,OPEN,AI,Gender-Neutral,1600,3100
