Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,SM,State,Gender-Neutral,,11944
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,EZ,State,Gender-Neutral,,19074
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,MU,State,Gender-Neutral,,14396
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,LA,State,Gender-Neutral,,44603
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,DV,State,Gender-Neutral,,48210
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,VK,State,Gender-Neutral,,16693
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,BH,State,Gender-Neutral,,21203
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,BX,State,Gender-Neutral,,41092
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,KN,State,Gender-Neutral,,51993
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,SC,State,Gender-Neutral,,62776
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Government Engineering College, Kozhikkode",Applied Electronics & Instrumentation,EW,State,Gender-Neutral,,38282
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,SM,State,Gender-Neutral,,2005
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,EZ,State,Gender-Neutral,,2983
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,MU,State,Gender-Neutral,,2447
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,LA,State,Gender-Neutral,,3601
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,DV,State,Gender-Neutral,,16732
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,VK,State,Gender-Neutral,,2224
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,BH,State,Gender-Neutral,,2220
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,BX,State,Gender-Neutral,,7721
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,KN,State,Gender-Neutral,,2637
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,KU,State,Gender-Neutral,,30093
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,SC,State,Gender-Neutral,,26095
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"College of Engineering, Thiruvananthapuram",Applied Electronics & Instrumentation,EW,State,Gender-Neutral,,5159
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,SM,State,Gender-Neutral,,18463
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,EZ,State,Gender-Neutral,,22210
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,MU,State,Gender-Neutral,,24835
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,LA,State,Gender-Neutral,,29833
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,DV,State,Gender-Neutral,,51244
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,VK,State,Gender-Neutral,,63871
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,BH,State,Gender-Neutral,,26305
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Rajagiri School of Engineering and Technology, Ernakulam",Applied Electronics & Instrumentation,SC,State,Gender-Neutral,,67011
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),SM,State,Gender-Neutral,,18076
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),EZ,State,Gender-Neutral,,21929
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),MU,State,Gender-Neutral,,19181
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),LA,State,Gender-Neutral,,25909
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),DV,State,Gender-Neutral,,63621
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),VK,State,Gender-Neutral,,18341
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),BH,State,Gender-Neutral,,25374
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),KN,State,Gender-Neutral,,29726
CEE Kerala,Kerala Engineering Architecture Medical Entrance Examination,UG,Kerala,2025,Trial,"Kelappaji College of Agricultural Engineering and Food Technology, Tavanur",B.Tech. (Agrl. Engg.),SC,State,Gender-Neutral,,44119
