Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,College of Engineering Pune (COEP),Computer Engineering,OPEN,HS,Gender-Neutral,7,346
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,College of Engineering Pune (COEP),Information Technology,OPEN,HS,Gender-Neutral,361,1015
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,Veermata Jijabai Technological Institute (VJTI),Computer Engineering,OPEN,HS,Gender-Neutral,176,740
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,Veermata Jijabai Technological Institute (VJTI),Electronics and Telecommunication,OPEN,HS,Gender-Neutral,783,1987
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,Sardar Patel Institute of Technology,Computer Engineering,OPEN,HS,Gender-Neutral,602,1591
MHT-CET,MHT-CET,UG,Maharashtra,2022,1,Pune Institute of Computer Technology (PICT),Computer Engineering,OPEN,HS,Gender-Neutral,817,2236
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,College of Engineering Pune (COEP),Computer Engineering,OPEN,HS,Gender-Neutral,7,374
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,College of Engineering Pune (COEP),Information Technology,OPEN,HS,Gender-Neutral,391,1097
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,Veermata Jijabai Technological Institute (VJTI),Computer Engineering,OPEN,HS,Gender-Neutral,191,800
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,Veermata Jijabai Technological Institute (VJTI),Electronics and Telecommunication,OPEN,HS,Gender-Neutral,846,2148
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,Sardar Patel Institute of Technology,Computer Engineering,OPEN,HS,Gender-Neutral,651,1720
MHT-CET,MHT-CET,UG,Maharashtra,2023,1,Pune Institute of Computer Technology (PICT),Computer Engineering,OPEN,HS,Gender-Neutral,884,2418
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,College of Engineering Pune (COEP),Computer Engineering,OPEN,HS,Gender-Neutral,8,402
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,College of Engineering Pune (COEP),Information Technology,OPEN,HS,Gender-Neutral,420,1180
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,Veermata Jijabai Technological Institute (VJTI),Computer Engineering,OPEN,HS,Gender-Neutral,205,860
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,Veermata Jijabai Technological Institute (VJTI),Electronics and Telecommunication,OPEN,HS,Gender-Neutral,910,2310
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,Sardar Patel Institute of Technology,Computer Engineering,OPEN,HS,Gender-Neutral,700,1850
MHT-CET,MHT-CET,UG,Maharashtra,2024,1,Pune Institute of Computer Technology (PICT),Computer Engineering,OPEN,HS,Gender-Neutral,950,2600
