Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Electronics(GAS),General,,Male,,2383
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"182-Govt. Polytechnic College, Karauli",Civil(GAS),OBC,,Male,,1695
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"006-Govt. Polytechnic College, Bikaner",Electronics(GAS),General,,Male,,2651
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"001-Govt. Polytechnic College, Ajmer",Mechanical(GAS),General,,Male,,943
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"016-Sh. Gokul Bhai Bhatt Govt. Polytechnic College,
Sirohi",Electrical(GAS),General,,Male,,5186
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Electrical(GAS),OBC,,Male,,4293
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Electrical(GAS),OBC,,Male,,1593
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000066--GGoovvtt.. PPoollyytteecchhnniicc CCoolllleeggee,, BBiikkaanneerr",CCiivviill((II SShhiifftt)),OOBBCC,,MMaallee,,22000099
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"015-Ch. Maloo Ram Bhambhu Govt. Poly. College,
Sriganganagar",Mechanical(GAS),General,,Male,,3273
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Electrical(GAS),OBC,,Male,,1018
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"236-Govt. Polytechnic College, Udaipur",Electrical(GAS),OBC,,Male,,5441
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"197-Chandravati Edu.Cheritable Trust Group of
Inst.,NH-11, Bharatpur",Electrical,OBC,,Male,,3816
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"002-Govt. Polytechnic College, Alwar",Civil(GAS),ST,,Male,,540
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"023-Govt. Polytechnic College, Neemrana, Alwar",Mechanical (Automobile)(GAS),OBC,,Male,,1493
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Mechanical(GAS),OBC,,Male,,3402
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"224400--MMSSMMEE TTeecchhnnoollggyy CCeennttrraa,, PPaatthhrreeddii,, BBhhiiwwaaddii",LLooggiissttiiccss TTeecchhnnoollooggyy((GGAASS)),GGeenneerraall,,MMaallee,,11229999
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"215-Northern Institute of Engg.Technical Campus,
Baldevbas, Panchayat Chikani, The. Bahadurpur,
Alwar",Electrical,SC,,Male,,1410
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"185-Govt. Polytechnic College, Bhilwara",Civil(GAS),General,,Male,,4450
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"181-Govt. Polytechnic College, Bundi",Computer Sc. & Engg.(GAS),General,,Male,,3089
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"008-Govt.Ramchandra Khitan Polytechnic College,
Jaipur",Computer Sc. & Engg.(GAS),ST,,Male,,3892
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"181-Govt. Polytechnic College, Bundi",Computer Sc. & Engg.(GAS),SC,,Female,,5238
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Electronics(GAS),SC,,Female,,4879
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000088--GGoovvtt..RRaammcchhaannddrraa KKhhiittaann PPoollyytteecchhnniicc CCoolllleeggee,,
JJaaiippuurr",CCoommppuutteerr SScc.. && EEnngggg..((GGAASS)),GGeenneerraall,,FFeemmaallee,,881199
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000011--GGoovvtt.. PPoollyytteecchhnniicc CCoolllleeggee,, AAjjmmeerr",CCiivviill((GGAASS)),OOBBCC,,FFeemmaallee,,668866
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"092-Govt. Women Polytechnic College, Bharatpur",Computer Sc. & Engg.(GAS),General,,Female,,1952
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"117-Govt. Polytechnic College, Hanumangarh",Electrical(GAS),General,,Male,,4360
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"185-Govt. Polytechnic College, Bhilwara",Computer Sc. & Engg.(GAS),OBC,,Male,,4711
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Mechanical(GAS),General,,Male,,4455
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Mechanical(GAS),OBC,,Male,,3440
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"008-Govt.Ramchandra Khitan Polytechnic College,
Jaipur",Mechanical(GAS),SC,,Male,,3786
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Mechanical(GAS),OBC,,Male,,2753
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"008-Govt.Ramchandra Khitan Polytechnic College,
Jaipur",Electronics(GAS),OBC,,Male,,2429
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Electronics(GAS),OBC,,Male,,740
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"095-Govt. Polytechnic College, Baran",Electrical(GAS),SC,,Male,,4484
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Electrical(GAS),ST,,Male,,1959
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"023-Govt. Polytechnic College, Neemrana, Alwar",Mechanical (Automobile)(GAS),General,,Male,,716
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"003-Govt. Polytechnic College, Banswara",Electrical(GAS),OBC,,Male,,922
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"007-Govt. Polytechnic College, Chittorgarh",Electronics(GAS),General,,Male,,3038
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"242-Govt. Polytechnic College,NAWA (Camp: GPC RC
Khaitan Jaipur)",Mechanical(GAS),General,,Male,,4054
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"181-Govt. Polytechnic College, Bundi",Civil(GAS),General,,Male,,4421
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000011--GGoovvtt.. PPoollyytteecchhnniicc CCoolllleeggee,, AAjjmmeerr",MMeecchhaanniiccaall ((AAuuttoommoobbiillee))((GGAASS)),OOBBCC,,MMaallee,,11885566
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"019-Govt. Women Polytechnic College, Ajmer",Electronics(GAS),General,,Female,,5034
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Petrolium Engineering(GAS),General,,Male,,5448
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Chemical(GAS),General,,Male,,143
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Civil(GAS),General,,Male,,4040
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"011-Govt. Polytechnic College, Pali",Electrical(GAS),General,,Male,,1935
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Computer Sc. & Engg.(GAS),OBC,,Male,,2040
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Civil(GAS),SC,,Male,,849
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Mechanical(GAS),ST,,Female,,655
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Computer Sc. & Engg.(GAS),OBC,,Female,,923
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"006-Govt. Polytechnic College, Bikaner",Mechanical(GAS),General,,Male,,4320
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"001188--VViiddyyaa BBhhaawwaann PPoollyytteecchhnniicc,, UUddaaiippuurr",IInnffoorrmmaattiioonn TTeecchhnnoollooggyy,GGeenneerraall,,MMaallee,,55336633
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Civil(GAS),General,,Male,,3681
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Civil(GAS),General,,Male,,1243
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Civil(I Shift),General,,Male,,3777
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Civil(GAS),General,,Male,,2069
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"001-Govt. Polytechnic College, Ajmer",Mechanical (Automobile)(GAS),General,,Male,,5412
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Electrical(GAS),General,,Male,,5415
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"076-Regional Institute of Polytechnic studies, vatika
sanganer,Jaipur",Mechanical,General,,Male,,3814
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Civil(GAS),General,,Male,,2181
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"117-Govt. Polytechnic College, Hanumangarh",Electrical(GAS),SC,,Male,,1121
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000022--GGoovvtt.. PPoollyytteecchhnniicc CCoolllleeggee,, AAllwwaarr",MMeecchhaanniiccaall((GGAASS)),OOBBCC,,MMaallee,,553388
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"118822--GGoovvtt.. PPoollyytteecchhnniicc CCoolllleeggee,, KKaarraauullii",EElleeccttrriiccaall((GGAASS)),GGeenneerraall,,MMaallee,,55335511
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Electrical(GAS),OBC,,Male,,78
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"008-Govt.Ramchandra Khitan Polytechnic College,
Jaipur",Mechanical(GAS),ST,,Male,,4473
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"242-Govt. Polytechnic College,NAWA (Camp: GPC RC
Khaitan Jaipur)",Civil And Environmental(GAS),General,,Male,,3284
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"005-Sh. Gokul Verma Govt. Polytechnic College,
Bharatpur",Civil(GAS),OBC,,Male,,1497
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"238-Govt. Polytechnic College, Kelwara (Baran)",Mechanical(GAS),OBC,,Male,,5080
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"185-Govt. Polytechnic College, Bhilwara",Electrical(GAS),General,,Male,,4396
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"009-Govt. Polytechnic College, Jodhpur",Electronics(GAS),General,,Male,,1762
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"184-Govt. Polytechnic College, Jhunjhunu",Electronics(GAS),General,,Male,,573
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"001-Govt. Polytechnic College, Ajmer",Mechanical(GAS),OBC,,Male,,1847
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"049-Govt. Polytechnic College, Nagaur",Computer Sc. & Engg.(GAS),General,,Male,,1979
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"000088--GGoovvtt..RRaammcchhaannddrraa KKhhiittaann PPoollyytteecchhnniicc CCoolllleeggee,,
JJaaiippuurr",AARRCCHHIITTEECCTTUURREE ((CC))((GGAASS)),OOBBCC,,MMaallee,,660000
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"010-Govt. Polytechnic College, Kota",Plastic Technology(GAS),OBC,,Male,,1035
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"048-Rajesh pilot Govt.polytechnic college, Dausa",Civil(GAS),OBC,,Male,,2208
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"008-Govt.Ramchandra Khitan Polytechnic College,
Jaipur",Computer Sc. & Engg.(GAS),General,,Male,,471
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"048-Rajesh pilot Govt.polytechnic college, Dausa",Electronics(GAS),General,,Male,,5540
"Board of Technical Education, Rajasthan",Rajasthan Polytechnic Entrance Examination,Diploma,Rajasthan,2024,,"097-Govt. Polytechnic College, Dholpur",Computer Sc. & Engg.(GAS),SC,,Male,,577
