Body,Exam,Level,State,Year,Round,Institute,Branch,Category,Quota,Gender,OpeningRank,ClosingRank
WBJEE,WBJEE,UG,West Bengal,2022,1,Jadavpur University,Computer Science and Engineering,OPEN,HS,Gender-Neutral,22,206
WBJEE,WBJEE,UG,West Bengal,2022,1,Jadavpur University,Electronics and Telecommunication Engineering,OPEN,HS,Gender-Neutral,258,619
WBJEE,WBJEE,UG,West Bengal,2022,1,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Technology,OPEN,HS,Gender-Neutral,301,946
WBJEE,WBJEE,UG,West Bengal,2022,1,Kalyani Government Engineering College,Computer Science and Engineering,OPEN,HS,Gender-Neutral,1548,3612
WBJEE,WBJEE,UG,West Bengal,2023,1,Jadavpur University,Computer Science and Engineering,OPEN,HS,Gender-Neutral,23,223
WBJEE,WBJEE,UG,West Bengal,2023,1,Jadavpur University,Electronics and Telecommunication Engineering,OPEN,HS,Gender-Neutral,279,670
WBJEE,WBJEE,UG,West Bengal,2023,1,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Technology,OPEN,HS,Gender-Neutral,326,1023
WBJEE,WBJEE,UG,West Bengal,2023,1,Kalyani Government Engineering College,Computer Science and Engineering,OPEN,HS,Gender-Neutral,1674,3906
WBJEE,WBJEE,UG,West Bengal,2024,1,Jadavpur University,Computer Science and Engineering,OPEN,HS,Gender-Neutral,25,240
WBJEE,WBJEE,UG,West Bengal,2024,1,Jadavpur University,Electronics and Telecommunication Engineering,OPEN,HS,Gender-Neutral,300,720
WBJEE,WBJEE,UG,West Bengal,2024,1,"Indian Institute of Engineering Science and Technology, Shibpur",Computer Science and Technology,OPEN,HS,Gender-Neutral,350,1100
WBJEE,WBJEE,UG,West Bengal,2024,1,Kalyani Government Engineering College,Computer Science and Engineering,OPEN,HS,Gender-Neutral,1800,4200
