Exam Name,Link of website,College Name,City,State,Program,Branch,Year - cutoff,Round #,Gender,Quota,Category,Opening Rank,Closing Rank,Link - Data Taken from
Aligarh Muslim University Entrance Examination – Law,,AMU BA LLB Cut-Off 2024 Details,,,,,2024,,,,Select list,,192,https://law.careers360.com/articles/amu-ba-llb-cutoff
Aligarh Muslim University Entrance Examination – Law,,AMU BA LLB Cut-Off 2024 Details,,,,,2024,,,,Chance memo list,,600,https://law.careers360.com/articles/amu-ba-llb-cutoff
All India Law Entrance Test,,AILET 2026 Round 1 BA LLB Cut-Off,,,,,2026,,,,General,1,60,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 1 BA LLB Cut-Off,,,,,2026,,,,OBC (Other Backward Class),92,330,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 1 BA LLB Cut-Off,,,,,2026,,,,EWS (Economically Weaker Section),172,298,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 1 BA LLB Cut-Off,,,,,2026,,,,SC (Scheduled Caste),507,1480,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 1 BA LLB Cut-Off,,,,,2026,,,,ST (Scheduled Tribe),381,1372,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 2 BA LLB Cut-Off,,,,,2026,,,,General,62,70,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 2 BA LLB Cut-Off,,,,,2026,,,,OBC (Other Backward Class),364,369,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 2 BA LLB Cut-Off,,,,,2026,,,,SC (Scheduled Caste),1602,1602,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2026 Round 2 BA LLB Cut-Off,,,,,2026,,,,ST (Scheduled Tribe),2888,2888,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 1 Cut Off,,,,,2026,,,,General,3,34,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 1 Cut Off,,,,,2026,,,,OBC,60,161,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 1 Cut Off,,,,,2026,,,,EWS,63,98,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 1 Cut Off,,,,,2026,,,,SC,59,244,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 1 Cut Off,,,,,2026,,,,ST,327,327,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 2 Cut Off,,,,,2026,,,,General,36,41,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET LLM 2026 Round 2 Cut Off,,,,,2026,,,,SC,287,287,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET 2024 Cut Off - Round 6 (Conversion of FN/OCI/PIO seats to General),,,,,2024,,,,General,,70,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET Cut Off 2024 - Round 5 (Conversion of FN/OCI/PIO seats to General),,,,,2024,,,,General,,69,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cutoff - Round 4,,,,,2024,,,,General,,66,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cutoff - Round 4,,,,,2024,,,,OBC,,598,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cutoff - Round 4,,,,,2024,,,,SC,,1689,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cut Off - Round 3,,,,,2024,,,,OBC,590,595,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cut Off - Round 3,,,,,2024,,,,SC,1669,,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cut Off - Round 3,,,,,2024,,,,ST,3351,,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cut Off - Round 2,,,,,2024,,,,General,63,65,https://law.careers360.com/articles/ailet-cutoff
All India Law Entrance Test,,AILET BA LLB 2024 Cut Off - Round 2,,,,,2024,,,,EWS,304,305,https://law.careers360.com/articles/ailet-cutoff
