Exam Name,Link of website,College Name,City,State,Program,Branch,Year - cutoff,Round #,Gender,Quota,Category,Opening Rank,Closing Rank,Cutoff Percentile/Score,Link - Data Taken from
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2023,,,All India 15%,General,1340.0,3626.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2023,,,All India 15%,OBC,7632.0,8391.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2023,,,All India 15%,SC,10624.0,33870.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2023,,,All India 15%,ST,64459.0,70744.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2019,,,All India 15%,General,1360.0,3586.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2019,,,All India 15%,OBC,7652.0,8350.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2019,,,All India 15%,SC,10636.0,33852.0,,https://www.getmyuni.com/exams/aipvt-cut-off
All India Veterinary Entrance Test,https://mcc.nic.in/WebinfoUG/Page/Page?PageId=1&LangId=P,,,,B.V.Sc & A.H.,Veterinary Science,2019,,,All India 15%,ST,64485.0,70707.0,,https://www.getmyuni.com/exams/aipvt-cut-off
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2020,,Male,,General,,,618,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2020,,Female,,General,,,637,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2019,,Male,,General,,,596,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2019,,Female,,General,,,610,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2018,,Male,,General,,,570,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2018,,Female,,General,,,600,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2017,,Male,,General,,,498,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2017,,Female,,General,,,536,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2016,,Male,,General,,,478,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2016,,Female,,General,,,537,https://www.collegedekho.com/articles/afmc-mbbs-admission-2022-check-admission-process-cutoff-eligibility-criteria/
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2024,,Male,,General,,,666,https://www.getmyuni.com/college/armed-forces-medical-college-afmc-pune-cut-off
Armed Forces Medical College Entrance Examination,https://neet.nta.nic.in/,Armed Forces Medical College,Pune,Maharashtra,MBBS,MBBS,2024,,Female,,General,,,681,https://www.getmyuni.com/college/armed-forces-medical-college-afmc-pune-cut-off
Assam Agriculture Entrance Examination,https://www.aau.ac.in/admission.html,Assam Agricultural University,Jorhat,Assam,B.V.Sc & A.H.,Animal Husbandry,2025,,,,General,51584.0,61503.0,,https://www.careers360.com/university/assam-agricultural-university-jorhat/cut-off
Assam Agriculture Entrance Examination,https://www.aau.ac.in/admission.html,Assam Agricultural University,Jorhat,Assam,B.V.Sc & A.H.,Veterinary Science and Animal Husbandry,2023,,,All India,General,158725.0,212398.0,,https://www.careers360.com/university/assam-agricultural-university-jorhat/cut-off
Assam Agriculture Entrance Examination,https://www.aau.ac.in/admission.html,Assam Agricultural University,Jorhat,Assam,B.Sc Agriculture (Hons),Agriculture,2023,,,All India,General,209920.0,301348.0,,https://www.careers360.com/university/assam-agricultural-university-jorhat/cut-off
Assam Agriculture Entrance Examination,https://www.aau.ac.in/admission.html,Assam Agricultural University,Jorhat,Assam,B.Sc Community Science (Hons),Community Science,2023,,,All India,General,400749.0,682708.0,,https://www.careers360.com/university/assam-agricultural-university-jorhat/cut-off
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bengaluru,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,1222.0,4493.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bengaluru,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,1720.0,5851.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bengaluru,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,46.0,1203.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bengaluru,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,1620.0,7306.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bengaluru,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,1440.0,8442.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bhopal,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,6713.0,8425.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bhopal,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,787.0,6375.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bhubaneswar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,5909.0,8137.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bhubaneswar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,320.0,5181.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Bhubaneswar,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,6624.0,7402.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,AIHM Chandigarh,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,3777.0,7856.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,AIHM Chandigarh,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,3781.0,8288.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,AIHM Chandigarh,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,89.0,3754.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,AIHM Chandigarh,,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,4024.0,7836.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Chennai (Chennai Campus),,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,OBC,2500.0,5465.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Chennai (Chennai Campus),,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,EWS,3259.0,8052.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Chennai (Chennai Campus),,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,Open,18.0,2442.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Chennai (Chennai Campus),,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,SC,3099.0,8337.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
Bachelor of Hotel Management and Catering Technology Entrance Exam,https://nchmcounselling.nic.in/,IHM Chennai (Chennai Campus),,,B.Sc. Hospitality and Hotel Administration,,2026,1,,,ST,2737.0,8082.0,,https://hospitality.careers360.com/articles/nchmct-jee-cutoff
