Exam Name,Link of website,College Name,City,State,Program,Branch,Year - cutoff,Round #,Gender,Quota,Opening Rank,Closing Rank,Link - Data Taken from
MP DTE,,"Indira Gandhi Engineering College, Sagar",,Madhya Pradesh,,Civil Engineering,2024,,,,481912,550714,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar",,Madhya Pradesh,,Electrical Engineering,2024,,,,621572,967989,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar",,Madhya Pradesh,,Electrical Engineering,2024,,,,268481,1402836,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar",,Madhya Pradesh,,Information Technology,2024,,,,635602,1452525,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur",,Madhya Pradesh,,Civil Engineering,2024,,,,185598,220219,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur",,Madhya Pradesh,,Computer Science and Engineering,2024,,,,59117,71730,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur",,Madhya Pradesh,,Electrical Engineering,2024,,,,458402,797251,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Nowgong Engineering College, Nowgong",,Madhya Pradesh,,Civil Engineering,2024,,,,368330,1311196,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Nowgong Engineering College, Nowgong",,Madhya Pradesh,,Electricial Engineering,2024,,,,428687,975504,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Nowgong Engineering College, Nowgong",,Madhya Pradesh,,Electronics and Instrumentation Engineering,2024,,,,216004,225117,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Nowgong Engineering College, Nowgong",,Madhya Pradesh,,Mechanical Engineering,2024,,,,241643,286265,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa",,Madhya Pradesh,,Civil Engineering,2024,,,,395150,571532,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa",,Madhya Pradesh,,Computer Science Engineering,2024,,,,66758,174156,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa",,Madhya Pradesh,,Electronics and Communication Engineering,2024,,,,141526,255886,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa",,Madhya Pradesh,,Electrical Engineering,2024,,,,311476,833215,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,Ujjain Engineering College,,Madhya Pradesh,,Civil Engineering,2024,,,,297400,518032,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,Ujjain Engineering College,,Madhya Pradesh,,Civil Engineering,2024,,,,615739,615739,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,Ujjain Engineering College,,Madhya Pradesh,,Chemical Engineering,2024,,,,410689,819765,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,Ujjain Engineering College,,Madhya Pradesh,,Computer Science and Engineering,2024,,,,66557,94962,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,Ujjain Engineering College,,Madhya Pradesh,,Computer Science and Engineering,2024,,,,1083452,1357304,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,50665,55076,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Information Technology,2024,,,,39760,60840,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,58573,73775,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,72919,81436,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,87358,95276,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa (REC) (1964)",,Madhya Pradesh,,B.Tech Electronics and Communication Engineering,2024,,,,119712,125180,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,73418,127718,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Electrical Engineering,2024,,,,114011,129451,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,90696,130471,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Electronics and Communication Engineering,2024,,,,93845,140891,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,138097,141911,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Electrical Engineering,2024,,,,127344,143544,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa (REC) (1964)",,Madhya Pradesh,,B.Tech Computer Science and Engineering,2024,,,,130881,184695,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar (IGEC) (1981)",,Madhya Pradesh,,B.Tech Electrical Engineering,2024,,,,160607,187275,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,138973,195882,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar (IGEC) (1981)",,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,175538,205696,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,159937,208293,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Civil Engineering,2024,,,,209186,219787,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,114217,223934,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Electronics and Communication Engineering,2024,,,,142913,227081,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Rewa Engineering College, Rewa (REC) (1964)",,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,207830,228060,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Civil Engineering,2024,,,,184467,234750,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Civil Engineering,2024,,,,114762,235366,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,UJJAIN ENGINEERING COLLEGE (FORMERLY GOVT. ENGG. COLLEGE ESTB. IN 1966),,Madhya Pradesh,,B.Tech Electronics and Communication Engineering,2024,,,,128753,235553,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,IP,2024,,,,199966,389436,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Civil Engineering,2024,,,,396740,396740,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Information Technology,2024,,,,307146,397529,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Jabalpur Engineering College, Jabalpur, (JEC) (1947)",,Madhya Pradesh,,B.Tech Mechanical Engineering,2024,,,,505200,505200,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar (IGEC) (1981)",,Madhya Pradesh,,B.Tech Information Technology,2024,,,,420729,585424,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Indira Gandhi Engineering College, Sagar (IGEC) (1981)",,Madhya Pradesh,,B.Tech Civil Engineering,2024,,,,368248,1411575,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-government-colleges/
MP DTE,,"Sri Aurobindo Institute of Technology, Indore",,Madhya Pradesh,,CSE,2024,,,,250971,1455438,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri G.S. Institute of Technology & Science, Indore",,Madhya Pradesh,,CSE,2024,,,,39754,39754,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri G.S. Institute of Technology & Science, Indore",,Madhya Pradesh,,CSE,2024,,,,21180,39629,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri G.S. Institute of Technology & Science, Indore",,Madhya Pradesh,,CSE,2024,,,,730403,730403,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,66975,166226,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,107349,205267,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,CSEIML,2024,,,,74756,252727,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,166806,290325,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,AIADS,2024,,,,110374,236057,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,CSEIML,2024,,,,135549,296639,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Lakshmi Narain College of Technology, Bhopal",,Madhya Pradesh,,AIADS,2024,,,,123771,299780,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Guru Ramdas Khalsa Institute of Science & Technology, Jabalpur",,Madhya Pradesh,,CSE,2024,,,,292381,909749,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSE,2024,,,,66613,251829,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSE,2024,,,,921972,921972,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSEIML,2024,,,,96706,336466,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSEIML,2024,,,,218499,409328,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,IT,2024,,,,342723,499261,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSEDS,2024,,,,160305,377381,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,IT,2024,,,,168844,485859,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Acropolis Institute of Technology & Research, Indore",,Madhya Pradesh,,CSEDS,2024,,,,122067,372129,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Saraswati Institute of Engineering & Technology, Jabalpur",,Madhya Pradesh,,CSE,2024,,,,948041,1166433,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Mittal Institute of Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,1063641,1063641,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Kailash Narayan Patidar College of Science & Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,1265435,1265435,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Bhopal Institute of Technology & Science, Bhopal",,Madhya Pradesh,,CSE,2024,,,,210213,1338813,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Oriental Institute of Science & Technology, Jabalpur",,Madhya Pradesh,,CSE,2024,,,,280444,783814,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Rewa Institute of Technology, Rewa",,Madhya Pradesh,,EC,2024,,,,141699,144453,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri Ram Institute of Science & Technology, Jabalpur",,Madhya Pradesh,,CSE,2024,,,,575654,1473090,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Hitkarni College of Engineering & Technology, Jabalpur",,Madhya Pradesh,,CSE,2024,,,,281836,1437564,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Hitkarni College of Engineering & Technology, Jabalpur",,Madhya Pradesh,,CSEIML,2024,,,,1020416,1344908,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Infinity Management & Engineering College, Sagar",,Madhya Pradesh,,AIML,2024,,,,675974,675974,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"IPS Academy, Institute of Engineering and Science, Indore",,Madhya Pradesh,,EC,2024,,,,194083,1442395,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"IPS Academy, Institute of Engineering and Science, Indore",,Madhya Pradesh,,EC,2024,,,,1236641,1236641,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"IPS Academy, Institute of Engineering and Science, Indore",,Madhya Pradesh,,CSE,2024,,,,89501,689881,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Bansal Institute of Research Technology & Science, Bhopal",,Madhya Pradesh,,CSEIML,2024,,,,1088539,1431389,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Bansal Institute of Research Technology & Science, Bhopal",,Madhya Pradesh,,CSE,2024,,,,807449,1446259,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Sagar Institute of Science Technology & Research, (SISTec-R), Bhopal",,Madhya Pradesh,,CSE,2024,,,,206186,1469670,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Swami Vivekanand College of Engineering, Indore",,Madhya Pradesh,,EC,2024,,,,1097902,1097902,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Prestige Institute of Engineering Management and Research, Indore",,Madhya Pradesh,,AIADS,2024,,,,1098288,1456348,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Prestige Institute of Engineering Management and Research, Indore",,Madhya Pradesh,,CSE,2024,,,,155068,1474858,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Prestige Institute of Engineering Management and Research, Indore",,Madhya Pradesh,,EC,2024,,,,472865,1392735,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri Ram Institute of Technology, Jabalpur",,Madhya Pradesh,,CSEIML,2024,,,,510189,1472722,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri Ram Institute of Technology, Jabalpur",,Madhya Pradesh,,EC,2024,,,,273330,1471593,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Chameli Devi Group of Institutions, Indore",,Madhya Pradesh,,CSE,2024,,,,146594,1466346,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Chameli Devi Group of Institutions, Indore",,Madhya Pradesh,,IT,2024,,,,670035,1439056,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Bansal College of Engineering, Obedullaganj, Raisen",,Madhya Pradesh,,CSEIML,2024,,,,307083,1400954,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Gyan Sagar College of Engineering, Sagar",,Madhya Pradesh,,CSEAI,2024,,,,276305,1364106,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Jawaharlal Institute of Technology, Borawan, Khargone",,Madhya Pradesh,,EC,2024,,,,957790,1464595,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Mahakal Institute of Technology, Ujjain",,Madhya Pradesh,,AIADS,2024,,,,361058,1438566,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Mahakal Institute of Technology, Ujjain",,Madhya Pradesh,,CSE,2024,,,,263323,1459986,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Mahakal Institute of Technology, Ujjain",,Madhya Pradesh,,IT,2024,,,,481740,481740,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shreejee Institute of Technology and Management, Khargone",,Madhya Pradesh,,CSE,2024,,,,566537,1420073,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Technocrats Institute of Technology & Science, Bhopal",,Madhya Pradesh,,CSE,2024,,,,462499,1459226,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Shri Guru Sandipani Institute of Technology & Science, Ujjain",,Madhya Pradesh,,CSE,2024,,,,157797,1464891,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT, JABALPUR",,Madhya Pradesh,,EC,2024,,,,446742,1473580,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"BADERIA GLOBAL INSTITUTE OF ENGINEERING & MANAGEMENT, JABALPUR",,Madhya Pradesh,,CSEDS,2024,,,,485556,1467736,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Technocrats Institute of Technology (Excellence), Bhopal",,Madhya Pradesh,,EC,2024,,,,895286,1189800,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Sagar Institute of Research & Technology, Bhopal",,Madhya Pradesh,,CSECS,2024,,,,563894,1468192,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Sagar Institute of Research & Technology, Bhopal",,Madhya Pradesh,,CSE,2024,,,,260239,1471221,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
MP DTE,,"Sagar Institute of Research & Technology, Bhopal",,Madhya Pradesh,,CSIT,2024,,,,279072,1389539,https://www.collegedekho.com/articles/dte-mp-btech-cutoff-ranks-for-private-colleges/
